From	To
B1AL88	FAM155A
Q6J272	FAM166A
Q96KS9	FAM167A
Q9Y6X4	FAM169A
Q86V87	FAM160B2
Q6P1L5	FAM117B
B1ANY3	FAM220BP
Q5VWN6	FAM208B
A6H8Z2	FAM221B
Q5U5X8	FAM222A
P0CF97	FAM200B
Q5SY85	FAM201A
Q9H8W3	FAM204A
Q6P4D5	FAM122C
Q8IWN6	FAM223A
A2RU67	FAM234B
Q5XKK7	FAM219B
Q7Z4H9	FAM220A
Q6IPT2	FAM71E1
A0A1B0GVK7	FAM240A
A0A1B0GVZ2	FAM240B
Q6NXP2	FAM71F2
Q5RGS3	FAM74A1
Q4VXF1	FAM74A3
A6NL05	FAM74A7
Q8N7N1	FAM86B1
P0C5J1	FAM86B2
Q86YD7	FAM90A1
Q658T7	FAM90A2P
A8MXJ8	FAM90A5P
A6NKC0	FAM90A7P
A6NJQ4	FAM90A8P
A6NNJ1	FAM90A9P
A6NDY2	FAM90A10P
A8MX19	FAM90A12P
P0C7W8	FAM90A13P
P0C7W9	FAM90A14P
A6NEW6	FAM90A16P
A6NEW6	FAM90A17P
A6NE21	FAM90A18P
A6NE21	FAM90A19P
P0C7V4	FAM90A15P
A6NIJ5	FAM90A20P
A8MWA6	FAM90A22P
A8MXZ1	FAM90A23P
P0C7X0	FAM90A24P
D6RGX4	FAM90A26
A6NNH2	FAM90A27P
Q658Y4	FAM91A1
Q8NDB6	FAM156A
Q8NDB6	FAM156B
Q96MK3	FAM20A
Q8IXL6	FAM20C
Q2M2I3	FAM83E
Q6ZRV2	FAM83H
Q96KN4	FAM84A
Q96KN1	FAM84B
Q96LP2	FAM81B
Q86UY5	FAM83A
P00451	F8
Q6ZTR7	FAM92B
P00740	F9
Q96KT0	FAM167A-AS1
Q8IVS2	MCAT
Q0Z7S8	FABP9
O75844	ZMPSTE24
Q9Y256	RCE1
Q8NFF5	FLAD1
Q9Y5Q0	FADS3
Q96GK7	FAHD2A
Q9NZN3	EHD3
A6NDN3	GOLGA6B
Q2TAP0	GOLGA7B
A6NCC3	GOLGA8O
H3BV12	GOLGA8Q
I6L899	GOLGA8R
Q6UWR7	ENPP6
Q14789	GOLGB1
P14625	HSP90B1
Q5JZY3	EPHA10
Q14677	CLINT1
Q99814	EPAS1
Q6PRD1	GPR179
P16452	EPB42
P54764	EPHA4
Q15375	EPHA7
A0A1B0GW35	EXOC1L
Q9Y2D4	EXOC6B
Q9H790	EXO5
Q96A65	EXOC4
O00471	EXOC5
Q96KP1	EXOC2
Q9Y3B2	EXOSC1
Q9Y2C4	EXOG
Q9NQT4	EXOSC5
Q5RKV6	EXOSC6
Q06265	EXOSC9
Q01780	EXOSC10
O43909	EXTL3
O00167	EYA2
Q5T9C2	FAM102A
Q9NRY5	FAM114A2
Q9C073	FAM117A
O00757	FBP2
Q17R55	FAM187B
Q6UWF9	FAM180A
Q6P0A1	FAM180B
Q8N9Y4	FAM181A
Q15884	FAM189A2
Q6ZVS7	FAM183BP
Q96PV7	FAM193B
Q6PEV8	FAM199X
Q7Z5A9	FAM19A1
A4D161	FAM221A
Q6ZU69	FAM205A
A6NFA0	FAM205C
A6NKX1	FAM223B
F5H4B4	FAM227A
Q96M60	FAM227B
Q86W67	FAM228A
Q9Y5M1	FAM215A
Q8WUB2	FAM216A
Q4G0N7	FAM229B
Q9NTX9	FAM217B
Q96MZ4	FAM218A
Q8IW50	FAM219A
Q8N5Q1	FAM71E2
Q96D05	FAM241B
A6NEL3	FAM86C2P
Q05BU3	FAM86JP
Q16875	PFKFB3
P0C866	LINC00869
Q9Y421	FAM32A
Q8N2R8	FAM43A
Q6ZT52	FAM43B
Q8TCE6	FAM45A
Q6NSW5	FAM45BP
Q5JRC9	FAM47A
Q8NA70	FAM47B
Q5HY64	FAM47C
A6NHR8	FAM47DP
Q6ZV65	FAM47E
Q9H0Q0	FAM49A
Q8NE31	FAM13C
Q14153	FAM53B
Q9NYF3	FAM53C
Q8N5W8	FAM24B
Q71RH2	FAM57B
Q7L5A8	FA2H
P0C841	FAM66E
Q8IYT1	FAM71A
Q8TC56	FAM71B
Q8NEG0	FAM71C
Q8N9W8	FAM71D
Q5TYM5	FAM72A
H0Y354	FAM72C
Q6L9T8	FAM72D
Q8TAV0	FAM76A
Q8NEG4	FAM83F
Q5VT40	FAM78B
P08709	F7
Q8TBF8	FAM81A
Q8NCA5	FAM98A
Q52LJ0	FAM98B
P15090	FABP4
P07148	FABP1
O95864	FADS2
Q6P2I3	FAHD2B
Q96CS3	FAF2
Q7L8L6	FASTKD5
Q05397	PTK2
Q9HCN4	GPN1
P98173	FAM3A
P58499	FAM3B
Q9NPI8	FANCF
O15287	FANCG
Q8IZT9	FAM9C
Q9Y2M0	FAN1
Q8IYD8	FANCM
Q9HB96	FANCE
Q9HC97	GPR35
Q8WUP2	FBLIM1
Q8N539	FIBCD1
Q9UBX5	FBLN5
Q8NCQ5	FBXO15
P35555	FBN1
Q15717	ELAVL1
Q7L2H7	EIF3M
P28324	ELK4
P0DMC3	APELA
A0A087WX78	ELOA3C
A6NLF2	ELOA3D
A7E2F4	GOLGA8A
D6RF30	GOLGA8K
H3BSY2	GOLGA8M
F8WBI6	GOLGA8N
H3BPF8	GOLGA8S
H3BQL2	GOLGA8T
Q92805	GOLGA1
P49961	ENTPD1
Q9Y5L3	ENTPD2
O75355	ENTPD3
Q14264	ERV3-1
P61550	ERVS71-1
P54762	EPHB1
Q14236	DIAPH2-AS1
Q9HCE0	EPG5
Q9C0D9	SELENOI
Q9Y6I3	EPN1
P55259	GP2
Q8IUS5	EPHX4
Q12929	EPS8
P29322	EPHA8
Q9UBC2	EPS15L1
Q14507	EDDM3A
Q96L91	EP400
Q99795	GPA33
P19447	ERCC3
Q9UKR5	ERG28
Q96RQ1	ERGIC2
O43414	ERI3
Q01469	FABP5
Q13158	FADD
O60427	FADS1
Q8N9I5	FADS6
Q9UNN5	FAF1
Q6P587	FAHD1
Q14CZ7	FASTKD3
Q969Z0	TBRG4
O60667	FCMR
Q9UHW5	GPN3
Q5VT28	FAM27B
Q5VT28	FAM27C
Q8TC84	FANK1
O94887	FARP2
Q14296	FASTK
P49327	FASN
Q9NYQ8	FAT2
Q8TDW7	FAT3
Q969F0	FATE1
P47775	GPR12
P49685	GPR15
Q13304	GPR17
Q14330	GPR18
Q15760	GPR19
Q9NS67	GPR27
O43194	GPR39
P46089	GPR3
O15529	GPR42
Q9Y5Y3	GPR45
P46093	GPR4
Q9Y2T5	GPR52
Q9Y2T6	GPR55
Q9BZJ8	GPR61
Q9BZJ7	GPR62
A8MUU1	FABP5P3
Q96EF6	FBXO17
O75426	FBXO24
P0C2W1	FBXO45
Q9Y6R7	FCGBP
Q9H4M3	FBXO44
Q5MNV8	FBXO47
Q96RD9	FCRL5
Q9UKT4	FBXO5
Q9ULW2	FZD10
Q9GZS0	DNAI2
Q9NPG1	FZD3
Q13467	FZD5
Q6P1R4	DUS1L
P31150	GDI1
O60739	EIF1B
Q9Y6B2	EID1
Q8TC92	ENOX1
P04899	GNAI2
Q5JWF2	GNAS
P11488	GNAT1
P19087	GNAT2
O14775	GNB5
Q8N0V5	GCNT2
Q5T6J7	IDNK
Q5T890	ERCC6L2
P54753	EPHB3
P13224	GP1BB
Q9UNN8	PROCR
P50549	ETV1
P41212	ETV6
P41162	ETV3
P43268	ETV4
P41161	ETV5
P57679	EVC
Q96CN4	EVI5L
Q01844	EWSR1
Q92643	PIGK
Q13491	GPM6B
Q8N2X6	EXOC3-AS1
Q8NHP7	EXD1
Q9NVH0	EXD2
Q9UQ84	EXO1
Q8IYI6	EXOC8
Q9NQT5	EXOSC3
Q9NPD3	EXOSC4
Q92935	EXTL1
Q16394	EXT1
Q99504	EYA3
O95677	EYA4
Q969W3	FAM104A
Q5XKR9	FAM104B
Q4KMX7	FAM106A
P0CH98	FAM106CP
O95990	FAM107A
Q9H098	FAM107B
P50502	ST13
Q96EK7	FAM120B
Q8NFI4	ST13P5
Q70Z53	FRA10AC1
Q8TAY7	FAM110D
Q96PZ2	FAM111A
O95936	EOMES
Q9H201	EPN3
P42566	EPS15
P04626	ERBB2
P60509	ERVPABLB-1
P15170	GSPT1
B3EWF7	EPM2A
Q8IYD1	GSPT2
Q9H5Z6	FAM124B
Q96C01	FAM136A
Q8IXS8	FAM126B
P05160	F13B
A5PLN7	FAM149A
Q5BKY9	FAM133B
Q8WW52	FAM151A
Q6UXP7	FAM151B
Q9UHL3	FAM153A
P0C7A2	FAM153B
Q3B820	FAM161A
Q96MY7	FAM161B
A8MTA8	FAM166B
Q8N8A8	FAM169B
Q8N612	FAM160A2
P09467	FBP1
A1A519	FAM170A
A6NMN3	FAM170B
Q5VUB5	FAM171A1
A8MVW0	FAM171A2
Q8WUF8	FAM172A
A6NC97	FAM172BP
Q8N128	FAM177A1
A6PVY3	FAM177B
Q8IXR5	FAM178B
Q5T1J6	FAM182A
Q5T319	FAM182B
A6NL82	FAM183A
Q8NB25	FAM184A
Q9ULE4	FAM184B
Q8IYM0	FAM186B
Q9NX38	FAM206A
Q9NSI2	FAM207A
Q5JX71	FAM209A
Q96ND0	FAM210A
Q8WU58	FAM222B
Q63HN1	FAM205BP
B9A014	FAM243A
P0DPQ4	FAM243B
P0C875	FAM228B
H3BQW9	FAM229A
Q8N7L0	FAM216B
Q8IXS0	FAM217A
Q9H0X4	FAM234A
Q96KD3	FAM71F1
Q8N8J7	FAM241A
P16930	FAH
P05413	FABP3
Q9BXW9	FANCD2
Q8WVX9	FAR1
Q96K12	FAR2
Q9NVQ4	FAIM
Q9H9Y4	GPN2
Q14289	PTK2B
Q96BQ1	FAM3D
Q5TZK3	FAM74A4
Q5TZK3	FAM74A6
Q8IZU1	FAM9A
Q8IZU0	FAM9B
Q9NVI1	FANCI
Q9BX63	BRIP1
O15360	FANCA
O00155	GPR25
O15354	GPR37
Q8NFZ0	FBH1
Q9UK96	FBXO10
Q8IX29	FBXO16
Q9Y3I1	FBXO7
P12314	FCGR1A
Q9UKB1	FBXW11
Q96LA6	FCRL1
Q9BRP7	FDXACB1
Q9BQL6	FERMT1
Q96MZ0	GDAP1L1
O43281	EFS
P16260	SLC25A16
O14793	MSTN
Q99819	ARHGDIG
O15371	EIF3D
P0C7U0	ELFN1
Q15369	ELOC
Q92556	ELMO1
Q00013	MPP1
Q9HC35	EML4
Q5J8M3	EMC4
Q15006	EMC2
Q9H4I9	SMDT1
Q6PJG2	ELMSAN1
P54851	EMP2
Q9BV81	EMC6
P54852	EMP3
O43402	EMC8
P50402	EMD
Q69384	ERVK-6
P61567	ERVK-7
Q902F8	ERVK-8
Q9UKH3	ERVK-9
Q9H0I2	ENKD1
Q8TC29	ENKUR
A6NNW6	ENO4
P63096	GNAI1
Q16206	ENOX2
P38405	GNAL
P09471	GNAO1
P0DO92	T-ENOL
P19086	GNAZ
Q9BYB4	GNB1L
Q96P88	GNRHR2
P15586	GNS
P22413	ENPP1
P0CJ92	GOLGA8H
A6NC78	GOLGA8IP
Q7Z5G4	GOLGA7
Q6UWV6	ENPP7
O75356	ENTPD5
Q9NQZ7	ENTPD7
Q96C92	ENTR1
Q86V85	GPR180
P21709	EPHA1
P62495	ETF1
Q14534	SQLE
O76062	TM7SF2
Q8IV48	ERI1
Q53EU6	GPAT3
Q6P6B1	ERICH5
Q86UL3	GPAT4
Q86WP2	GPBP1
Q8TAM6	ERMN
P51654	GPC3
Q7Z2K6	ERMP1
Q96DN0	ERP27
P30040	ERP29
Q9Y625	GPC6
Q76MJ5	ERN2
Q9UM22	EPDR1
P54756	EPHA5
Q9UF33	EPHA6
P33947	KDELR2
Q96RT1	ERBIN
P56851	EDDM3B
O95872	GPANK1
Q9HCL2	GPAM
Q969X5	ERGIC1
Q6NUI2	GPAT2
Q5W0A0	ERICH6B
P50548	ERF
P61579	ERVK-25
O75477	ERLIN1
Q96DZ1	ERLEC1
Q9HC44	GPBP1L1
Q96PL5	ERMAP
Q96HE7	ERO1A
Q8N158	GPC2
Q86YB8	ERO1B
Q9NZH0	GPRC5B
Q9NQ84	GPRC5C
Q5T6X5	GPRC6A
Q9BS26	ERP44
P0DP91	CSB-PGBD3
P11474	ESRRA
O95718	ESRRB
B6SEH8	ERVV-1
Q8TE68	EPS8L1
Q96J88	EPSTI1
Q96BH3	ELSPBP1
Q9NQ30	ESM1
B1AK53	ESPN
Q1W209	ESRG
P03372	ESR1
P21695	GPD1
Q6UWW8	CES3
Q6NT32	CES5A
P10768	ESD
Q9BSJ8	ESYT1
A0FGR8	ESYT2
A0FGR9	ESYT3
Q9NY74	ETAA1
Q3ZM63	ETDA
P0DPP9	ETDB
A0A1B0GVM5	ETDC
P13804	ETFA
Q16134	ETFDH
Q6IPR1	ETFRF1
O95571	ETHE1
P14921	ETS1
P58658	EVA1C
Q9BZE7	C22orf23
Q9NVM1	EVA1B
P34910	EVI2B
Q9UI08	EVL
P49640	EVX1
Q9NXN4	GDAP2
O60383	GDF9
P01133	EGF
Q13144	EIF2B5
Q06889	EGR3
Q9BY44	EIF2A
P32519	ELF1
P78545	ELF3
A6NDY0	PABPN1L
A6NHQ4	EPOP
Q7L775	EPM2AIP1
Q5NDL2	EOGT
P07359	GP1BA
Q99645	EPYC
Q9NQ60	EQTN
Q03468	ERCC6
Q13216	ERCC8
Q15303	ERBB4
O43731	KDELR3
Q14956	GPNMB
Q92520	FAM3C
Q53R41	FASTKD1
Q9NYY8	FASTKD2
Q9NW38	FANCL
Q8NB91	FANCB
Q00597	FANCC
Q92636	NSMAF
Q9BTP7	FAAP24
Q9Y4F1	FARP1
Q14517	FAT1
Q6V0I7	FAT4
P46091	GPR1
Q99678	GPR20
Q99679	GPR21
Q99680	GPR22
Q8TES7	FBF1
P23142	FBLN1
P98095	FBLN2
O95967	EFEMP2
P22087	FBL
Q9UK22	FBXO2
Q4G163	FBXO43
Q92637	FCGR1B
P37268	FDFT1
P30273	FCER1G
P57775	FBXW4
Q969U6	FBXW5
Q75N90	FBN3
A6NFH5	FABP12
Q5T0N5	FNBP1L
Q9UK73	FEM1B
Q8NFU4	FDCSP
Q9UII4	HERC5
P51161	FABP6
O15540	FABP7
P12104	FABP2
Q96PS1	FANCD2OS
Q6NZ36	FAAP20
Q5TGI0	FAXC
O00270	GPR31
O75388	GPR32
Q49SQ1	GPR33
Q53RD9	FBLN7
Q7Z6M2	FBXO33
Q8TCJ0	FBXO25
P12318	FCGR2A
Q8N4B4	FBXO39
O75636	FCN3
Q8TF61	FBXO41
Q6ZVX7	NCCRP1
Q96JP0	FEM1C
P02765	AHSG
Q9UGM5	FETUB
Q99581	FEV
Q99689	FEZ1
P98174	FGD1
Q7Z6J4	FGD2
Q6WQI6	HEPN1
Q9BYJ0	FGFBP2
P09038	FGF2
P09769	FGR
Q15034	HERC3
Q8IVU3	HERC6
O43427	FIBP
P02675	FGB
Q14469	HES1
P31371	FGF9
P22455	FGFR4
Q6QHK4	FIGLA
Q9NSA1	FGF21
P20930	FLG
Q14314	FGL2
Q75LS8	FKBP9P1
O95992	CH25H
Q15782	CHI3L2
Q96FZ5	CMTM7
P33552	CKS2
Q8IYA6	CKAP2L
Q8N6U2	LINC00612
Q495D7	LINC01559
Q96LM1	LINC00615
Q8N5I9	C12orf45
Q9H741	C12orf49
Q9Y471	CMAHP
Q17RA5	C21orf62-AS1
Q96DG6	CMBL
O75746	SLC25A12
Q9UJS0	SLC25A13
P56277	CMC4
Q96KP4	CNDP2
Q9BYD5	CNFN
P29973	CNGA1
Q16280	CNGA2
O75417	POLQ
Q8N608	DPP10
Q9UHL4	DPP7
Q9NY33	DPP3
P27487	DPP4
P42658	DPP6
Q6V1X1	DPP8
Q86TI2	DPP9
Q7Z7J5	DPPA2
Q6W0C5	DPPA3
Q7L190	DPPA4
A6NC42	DPPA5
A6NFQ7	DPRX
Q5T2R2	PDSS1
Q8TB45	DEPTOR
Q9C005	DPY30
Q12882	DPYD
Q14194	CRMP1
Q16555	DPYSL2
Q14195	DPYSL3
O14531	DPYSL4
Q9BPU6	DPYSL5
P79483	HLA-DRB3
P13762	HLA-DRB4
Q30154	HLA-DRB5
Q96DY2	IQCD
Q86XH1	IQCA1
Q96MC2	DRC1
Q8IXS2	CCDC65
Q9H069	DRC3
O95995	GAS8
Q5JU00	TCTE1
Q8NEE6	FBXL13
Q8IY82	DRC7
Q5VUJ9	EFCAB2
Q9H095	IQCG
P21728	DRD1
P14416	DRD2
P35462	DRD3
P21917	DRD4
P21918	DRD5
Q16643	DBN1
Q9Y295	DRG1
P55039	DRG2
A6NNA5	DRGX
Q6PGQ1	DRICH1
Q6IAN0	DHRS7B
A6NNS2	DHRS7C
Q6B8I1	DUSP13
Q9UII6	DUSP13
P0DPQ6	DDIT3
Q96EV8	DTNBP1
Q9NRW4	DUSP22
Q9BVJ7	DUSP23
Q9BV47	DUSP26
Q5VZP5	DUSP27
Q4G0W2	DUSP28
Q14061	COX17
Q9NX74	DUS2
Q9Y6N1	COX11
Q7KZN9	COX15
Q9H799	CPLANE1
O14810	CPLX1
Q86YQ8	CPNE8
P50416	CPT1A
Q96MF6	COQ10A
P24462	CYP3A7
Q8TCD1	C18orf32
Q5TA50	CPTP
P43320	CRYBB2
P19525	EIF2AK2
H7BZ55	CROCC2
O43889	CREB3
Q9UJA2	CRLS1
P46109	CRKL
Q9Y2J2	EPB41L3
Q13536	C1orf61
Q86T23	CROCCP2
Q66K89	E4F1
A8MQ03	CYSRT1
P82279	CRB1
P02511	CRYAB
Q16526	CRY1
A6NJJ6	C19orf67
Q8TBR5	CIRBP-AS1
Q8WWI5	SLC44A1
O60931	CTNS
P35221	CTNNA1
Q53GD3	SLC44A4
Q99708	RBBP8
P52569	SLC7A2
Q86XQ3	CATSPER3
P40313	CTRL
O14578	CIT
O60869	EDF1
P26232	CTNNA2
Q8NEC5	CATSPER1
P20800	EDN2
Q9UQB3	CTNND2
Q14999	CUL7
Q9P013	CWC15
Q9NXE8	CWC25
P26641	EEF1G
P13639	EEF2
A6NFE3	EFCAB10
Q9BUY7	EFCAB11
Q6NXP0	EFCAB12
Q8IY85	EFCAB13
O75071	EFCAB14
P60507	ERVFC1
P60608	ERVFC1-1
Q8N4Y2	CRACR2B
Q9BSW2	CRACR2A
Q9HAE3	EFCAB1
Q8TB33	LINC01560
Q8TB03	CXorf38
A8K855	EFCAB7
P24310	COX7A1
P78310	CXADR
P17302	GJA1
P08034	GJB1
P80162	CXCL6
P02775	PPBP
Q9UKL4	GJD2
Q9Y6H8	GJA3
P57773	GJA9
P61073	CXCR4
Q9H2H0	CXXC4
P00167	CYB5A
Q9HB71	CACYBP
Q08477	CYP4F3
Q66GS9	CEP135
Q6VVX0	CYP2R1
Q03001	DST
Q86W10	CYP4Z1
Q8IYY4	DZIP1L
Q96SM3	CPXM1
Q9UBL6	CPNE7
P20815	CYP3A5
Q0VDD5	MIR22HG
Q8IZJ3	CPAMD8
P22792	CPN2
Q17RY0	CPEB4
P53674	CRYBB1
Q70SY1	CREB3L2
Q68CJ9	CREB3L3
Q92838	EDA
Q6P2E9	EDC4
O43246	SLC7A4
Q92611	EDEM1
Q6PD62	CTR9
Q9BV94	EDEM2
Q9BZQ6	EDEM3
Q9H7T0	CATSPERB
Q5SY80	CATSPERE
Q6ZRH7	CATSPERG
Q9NTU4	CATSPERZ
O43854	EDIL3
Q05D32	CTDSPL2
Q8WZ74	CTTNBP2
P05305	EDN1
Q9UBT7	CTNNAL1
P59091	LINC00315
Q9UJ94	LINC00527
Q96M42	LINC00479
P60606	CTXN1
Q15075	EEA1
O75530	EED
Q7L9B9	EEPD1
Q9NWM3	CUEDC1
Q5VTE0	EEF1A1P5
Q13616	CUL1
Q8IWT3	CUL9
Q13620	CUL4B
Q9NTM9	CUTC
Q8WYQ4	C22orf15
Q6ZV56	C22orf34
Q8N1L1	LINC00528
Q6P5X5	C22orf39
Q6IC83	C22orf42
P29692	EEF1D
Q9HCG8	CWC22
Q96G04	EEF2KMT
O00418	EEF2K
Q6UX04	CWC27
Q5VT33	LINC01545
Q8TE69	CXorf40A
Q96DE9	CXorf40B
A8MWE9	EFCAB8
A8MZ26	EFCAB9
Q9HA90	EFCC1
A6NEN9	CXorf65
P14854	COX6B1
Q86X51	CXorf67
Q6YFQ2	COX6B2
Q969M2	GJA10
P29033	GJB2
P35212	GJA4
Q9NTQ9	GJB4
O95377	GJB5
P36382	GJA5
O95452	GJB6
Q8NFK1	GJC3
Q9H2A7	CXCL16
P32302	CXCR5
P49447	CYB561
Q53TN4	CYBRD1
Q9BQA9	CYBC1
Q8N7U6	EFHB
Q5JVL4	EFHC1
Q7Z2Z2	EFL1
Q5JPI9	EEF1AKMT2
P52798	EFNA4
P98172	EFNB1
P52799	EFNB2
Q15768	EFNB3
Q16760	DGKD
Q5KSL6	DGKK
Q7Z5J1	HSD11B1L
P28845	HSD11B1
Q6UWP2	DHRS11
P09417	QDPR
Q8IYB7	DIS3L2
Q7Z478	DHX29
Q6P3W2	DNAJC24
Q9NXW2	DNAJB12
O94907	DKK1
Q9NR61	DLL4
O60479	DLX3
P56179	DLX6
O95886	DLGAP3
Q92796	DLG3
Q15398	DLGAP5
Q8TDM6	DLG5
O75084	FZD7
Q9P2D7	DNAH1
Q8WUU5	GATAD1
Q13627	DYRK1A
Q8NCM8	DYNC2H1
Q96DT5	DNAH11
Q86XF0	DHFR2
Q9UFH2	DNAH17
O43781	DYRK3
Q9HCG7	GBA2
Q9H227	GBA3
P62873	GNB1
P50570	DNM2
P16520	GNB3
Q9UQ16	DNM3
Q16610	ECM1
Q14397	GCKR
Q9NP62	GCM1
O75603	GCM2
Q92616	GCN1
Q02742	GCNT1
O95395	GCNT3
Q9P109	GCNT4
Q6ZNI0	GCNT7
Q9BZD3	GCOM2
Q9BSJ2	TUBGCP2
Q96CW5	TUBGCP3
Q9UGJ1	TUBGCP4
Q96RT8	TUBGCP5
Q9H3P7	ACBD3
Q96RT7	TUBGCP6
P04150	NR3C1
Q8N6F7	GCSAM
P23378	GLDC
P48728	AMT
Q02108	GUCY1A1
P33402	GUCY1A2
Q02153	GUCY1B1
O75343	GUCY1B2
P24903	CYP2F1
Q96A23	CPNE4
Q8WVH0	CPLX3
Q7Z7G2	CPLX4
Q86X59	C17orf82
O43809	NUDT21
Q9H3G5	CPVL
Q8N1P7	CRYBG2
P05813	CRYBA1
O75629	CREG1
Q6UXH1	CRELD2
O75177	SS18L1
Q16254	E2F4
Q9H0B8	CRISPLD2
Q8IUI8	CRLF3
A5YM72	CARNS1
Q53ET0	CRTC2
O95727	CRTAM
Q8NEA5	C19orf18
Q8N9M1	C19orf47
P22914	CRYGS
K7EIQ3	ZNF561-AS1
I3L1E1	C19orf84
A0A1B0GUS0	C19orf85
A0A1B0GTH6	CSNKA2IP
P43003	SLC1A3
O94886	TMEM63A
O75534	CSDE1
P43005	SLC1A1
Q96JC9	EAF1
P15509	CSF2RA
P09919	CSF3
P19784	CSNK2A2
O14936	CASK
P41240	CSK
P61201	COPS2
P0CF75	EBLN1
Q7L5N1	COPS6
Q9UBW8	COPS7A
Q9H9Q2	COPS7B
Q9BY08	EBPL
P13611	VCAN
Q16527	CSRP2
P50461	CSRP3
Q9H0L4	CSTF2T
Q5W188	CST9LP1
Q5W186	CST9
Q9BQM9	C20orf144
Q8NBC4	C20orf203
A0A1B0GTL2	C20orf204
Q5DJT8	CT45A2
Q8NHU0	CT45A3
P0DMU7	CT45A6
P0DMV0	CT45A7
P0DMV2	CT45A9
P0DMU9	CT45A10
P12724	RNASE3
Q9H8V3	ECT2
Q8NI51	CTCFL
P49711	CTCF
P56545	CTBP2
Q96RT6	CTAGE1
Q8IX95	CTAGE3P
A4D2H0	CTAGE15
Q16619	CTF1
Q9UNE0	EDAR
Q8N4M1	SLC44A3
P30825	SLC7A1
Q8WY07	SLC7A3
Q99895	CTRC
Q7RTX7	CATSPER4
Q86XM0	CATSPERD
Q7Z7A3	CTU1
Q2VPK5	CTU2
O60716	CTNND1
P25101	EDNRA
Q4LDR2	CTXN3
Q6XXX2	LINC00114
A6NIU2	LINC01549
P24530	EDNRB
P59089	LINC00205
Q6ZN03	LINC00322
O60494	CUBN
P68104	EEF1A1
Q9H467	CUEDC2
Q05639	EEF1A2
Q13617	CUL2
O60888	CUTA
Q9NRI5	DISC1
Q9H1X3	DNAJC25
Q9P2K9	DISP3
O95661	DIRAS3
Q9Y5T4	DNAJC15
Q15700	DLG2
Q9NP97	DYNLRB1
Q13316	DMP1
Q6ZS02	DNM1P46
Q5HYR2	DMRTC1
Q5HYR2	DMRTC1B
Q9Y222	DMTF1
Q9UP38	FZD1
O60478	GPR137B
Q4LDG9	DNAL1
O96015	DNAL4
Q96EY1	DNAJA3
Q8WW22	DNAJA4
P25685	DNAJB1
Q8WWF6	DNAJB3
Q7Z6W7	DNAJB7
Q13217	DNAJC3
Q8NGA4	GPR32P1
P01909	HLA-DQA1
P01906	HLA-DQA2
Q8TE96	DQX1
Q99999	GAL3ST1
Q9H3Q3	GAL3ST2
Q96A11	GAL3ST3
Q8N682	DRAM1
Q8TAE8	GADD45GIP1
P01903	HLA-DRA
O95866	MPIG6B
P06744	GPI
Q8N9I9	DTX3
O75319	DUSP11
O95147	DUSP14
Q9BY84	DUSP16
P28562	DUSP1
Q6RFH8	DUX4L9
O00148	DDX39A
O95177	GAS8-AS1
Q9UQC2	GAB2
Q9NYC9	DNAH9
Q7RTS9	DYM
Q05193	DNM1
O94850	DDN
Q07507	DPT
Q96QD5	DEPDC7
Q7L5Y6	DET1
Q6IED9	DGAT2L7P
O75907	DGAT1
P37059	HSD17B2
Q9Y4D2	DAGLA
O43323	DHH
P49366	DHPS
Q6UX07	DHRS13
Q96LJ7	DHRS1
Q9BPW9	DHRS9
Q155Q3	DIXDC1
Q96LL9	DNAJC30
O00548	DLL1
Q9Y238	DLEC1
Q8NFW5	DMBX1
Q9P1A6	DLGAP2
Q9NPF5	DMAP1
P51530	DNA2
O60353	FZD6
O95479	H6PD
Q13474	DRP2
Q86UW9	DTX2
Q8TDB6	DTX3L
Q9Y2E6	DTX4
Q68J44	DUPD1
Q9Y6W6	DUSP10
Q9UNI6	DUSP12
Q9H1R2	DUSP15
Q8WTR2	DUSP19
Q13838	DDX39B
O77932	DXO
A6NLW8	DUXA
P56178	DLX5
P24855	DNASE1
P25686	DNAJB2
Q9UDY4	DNAJB4
O75953	DNAJB5
O75190	DNAJB6
Q8NHS0	DNAJB8
Q9UBS3	DNAJB9
Q99543	DNAJC2
Q9UN86	G3BP2
O14556	GAPDHS
P04406	GAPDH
Q14117	DPYS
P01920	HLA-DQB1
P05538	HLA-DQB2
P0CG22	DHRS4L1
Q6PKH6	DHRS4L2
Q8NEX9	SDR9C7
Q96RP7	GAL3ST4
Q6UX65	DRAM2
Q8NBI3	DRAXIN
Q9NQR9	G6PC2
Q9BUM1	G6PC3
P35575	G6PC
P11413	G6PD
Q16854	DGUOK
O75911	DHRS3
Q9UPY3	DICER1
Q96C10	DHX58
Q7L2E3	DHX30
Q9UBS4	DNAJB11
Q9UBT3	DKK4
P56177	DLX1
O00144	FZD9
Q7L622	G2E3
Q9NNZ3	DNAJC4
O60883	GPR37L1
P33316	DUT
O43812	DUX1
Q96PT4	DUX3
Q92997	DVL3
P54792	DVL1P1
P62684	HERVK_113
Q99501	GAS2L1
Q8NHY3	GAS2L2
Q86XJ1	GAS2L3
Q13480	GAB1
Q2WGN9	GAB4
Q9P225	DNAH2
Q96JB1	DNAH8
Q96FJ2	DYNLL2
P63172	DYNLT1
Q14156	EFR3A
P12838	DEFA4
Q9NXZ2	DDX43
O75955	FLOT1
Q9H4E7	DEF6
Q9NUI1	DECR2
P35659	DEK
P15924	DSP
Q9BY27	DGCR6L
